,Коэффициент текущей ликвидности,Коэффициент быстрой ликвидности,Коэффициент абсолютной ликвидности
1,,,
2,,,
3,1.1325,0.9968,0.168
4,0.0711,0.0711,
5,,,
6,,,
7,,,
8,,,
9,5.4658,5.2846,2.5642
10,,,
11,,,
12,,,
13,,,
14,,,
15,0.8858,0.774,0.0024
16,,,
17,80.9454,80.5798,13.3445
18,,,
19,,,
20,,,
21,,,
22,1.2795,0.891,0.0003
23,,,
24,,,
25,403.7016,403.7016,0.0209
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,2.059,1.4447,1.155
44,1.3599,0.0641,
45,,,
46,,,
47,,,
48,,,
49,,,
50,0.3631,0.3631,0.3323
51,,,
52,,,
53,,,
54,,,
55,,,
56,0.9867,0.9867,0.0187
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,1.3102,1.3102,0.0107
64,,,
65,0.7833,0.647,0.0523
66,0.6966,0.1009,0.0008
67,,,
68,,,
69,,,
70,,,
71,,,
72,0.9859,0.9755,0.0877
73,,,
74,,,
75,1.2896,0.0799,0.0024
76,1.0081,0.4572,0.0636
77,0.8652,0.8652,-0.0149
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,1.8434,1.1598,0.5016
86,,,
87,0.9988,0.7024,0.0009
88,,,
89,,,
90,,,
91,,,
92,,,
93,0.1867,0.1567,0.1333
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,0.9949,0.8044,0.6369
101,,,
102,0.9098,0.9098,0.1557
103,,,
104,1.0037,0.9882,0.1826
105,,,
106,1.0299,1.0299,0.0838
107,1.0183,0.9753,0.112
108,,,
109,,,
110,,,
111,,,
112,,,
113,1.0271,1.0084,0.1092
114,,,
115,,,
116,,,
117,,,
118,,,
119,0.1385,0.1385,0.0462
120,,,
121,,,
122,,,
123,2.0429,1.8442,0.088
124,,,
125,1.1414,0.7133,0.0007
126,,,
127,,,
128,,,
129,,,
130,,,
131,0.7551,0.6173,
132,,,
133,1.1565,1.1387,0.2253
134,,,
135,1.0832,0.9861,0.0351
136,,,
137,2.8328,0.8731,0.2508
138,,,
139,2.0619,0.3805,0.1062
140,,,
141,1.2132,1.1783,0.0061
142,,,
143,,,
144,,,
145,,,
146,,,
147,1.1998,1.1096,0.8268
148,,,
149,1.1567,0.9884,0.0495
150,1.0133,0.8509,0.0941
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,0.5913,0.5913,
160,,,
161,,,
162,175.2642,175.2642,71.6792
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,4.7365,4.7365,2.5961
174,,,
175,,,
176,1.0101,0.6505,0.0008
177,,,
178,,,
179,,,
180,,,
181,1.0078,0.9164,0.2245
182,,,
183,,,
184,,,
185,,,
186,,,
187,1.3525,1.3453,0.3669
188,,,
189,,,
190,,,
191,,,
192,511.0,106.0,8.0
193,1.0016,0.8796,0.0274
194,,,
195,,,
196,,,
197,,,
198,0.9946,0.7336,0.0009
199,,,
200,,,
201,,,
202,1.0004,0.4712,0.0098
203,,,
204,1.6925,1.6918,0.1751
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,2.0933,1.993,1.1795
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,1.9896,0.4661,0.0487
229,,,
230,,,
231,,,
232,,,
