,Рентабельность продаж,Рентабельность активов (ROA),Рентабельность капитала (ROE)
1,,,
2,,,
3,0.0531,0.0206,0.2179
4,,0.038,-0.0306
5,,,
6,,,
7,,,
8,,,
9,0.1898,0.5778,0.683
10,,,
11,,,
12,,,
13,,,
14,,,
15,0.0084,0.0337,0.2698
16,,,
17,0.0213,-0.0066,-0.0066
18,0.002,0.0102,0.0102
19,,,
20,,,
21,,,
22,0.0512,0.0505,0.1843
23,,,
24,,,
25,,0.0008,0.6385
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,0.2523,0.4154,1.3013
44,0.0369,0.0287,0.1852
45,,,
46,,,
47,,,
48,,,
49,,,
50,-0.1033,-1.8544,23.875
51,,,
52,,,
53,,,
54,,,
55,,,
56,-0.0645,0.0013,-0.0327
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,0.0658,0.193,1.1375
64,,,
65,-0.0055,0.002,-0.0056
66,,-0.0401,0.1001
67,,,
68,,,
69,,,
70,,,
71,,,
72,0.0478,0.0035,0.1965
73,,,
74,,,
75,-0.0667,0.0072,0.0309
76,-0.2418,0.0005,0.0077
77,-0.0008,-0.0112,-1.5052
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,0.0047,-0.0053,-0.0073
86,,,
87,0.0067,0.0039,0.2873
88,,,
89,,,
90,,,
91,,,
92,,,
93,,-0.7091,0.1822
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,0.0219,0.0127,0.1782
101,,,
102,0.0724,0.1255,-3.3248
103,,,
104,,,
105,,,
106,0.0018,0.0765,2.2
107,0.0168,0.0292,1.3879
108,,,
109,,,
110,,,
111,,,
112,,,
113,0.0567,0.0098,0.6003
114,,,
115,,,
116,,,
117,,,
118,,,
119,,-0.0067,-0.0073
120,,,
121,,,
122,,,
123,0.3703,0.2296,0.3945
124,,,
125,0.0265,0.0163,0.5841
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,0.0351,0.4681,1.5513
134,,,
135,0.3195,0.126,1.7225
136,,,
137,0.0352,0.5896,0.9634
138,,,
139,0.0147,0.0538,0.087
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,0.0133,0.0205,0.0738
148,,,
149,0.0056,-0.0359,-0.3413
150,0.0141,0.0044,0.3179
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,-0.0792,0.4852
160,,,
161,,,
162,0.0755,-0.0155,-0.6909
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,0.7555,8.4135,-3.6534
173,0.6258,-0.1223,-0.1276
174,,,
175,,,
176,0.0045,0.0029,0.2749
177,,,
178,,,
179,,,
180,,,
181,0.0258,0.0144,1.8374
182,,,
183,,,
184,,,
185,,,
186,,,
187,0.0418,0.5213,2.0
188,,,
189,,,
190,,,
191,,,
192,0.041,0.0135,0.0138
193,0.0445,0.1713,0.7562
194,,,
195,,,
196,,,
197,,,
198,0.029,0.0232,1.6966
199,,,
200,,,
201,,,
202,0.0028,-0.0166,-2.2138
203,,,
204,0.1649,0.9309,4.9102
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,0.0405,0.0465,0.1396
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,0.022,0.0271,0.0413
229,,,
230,,,
231,,,
232,,,
