,Доходы,Расходы,Расходы,Валовая прибыль (убыток),Коммерческие расходы,Управленческие расходы,Прибыль (убыток) от продажи,Чистая прибыль (убыток)
1,,,,,,,,
2,,,,,,,,
3,,,,11749000.0,,9772000.0,1977000.0,1356000.0
4,,,,,,,,586000.0
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,9217000.0,6775000.0
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,475000.0,368000.0
16,,,,,,,,
17,,,,93000.0,,,93000.0,-179000.0
18,,,,4000.0,,,4000.0,4000.0
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
22,,,,,,,396000.0,308000.0
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,121000.0
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,37361000.0,,2490000.0,34871000.0,33119000.0
44,,,,,,,93000.0,59000.0
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,-328000.0,-382000.0
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,-1695000.0,80000.0
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,2837000.0,6676000.0
64,,,,,,,,
65,,,,,,,-1518000.0,212000.0
66,,,,,,459000.0,-459000.0,-1360000.0
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,4123000.0,245000.0
73,,,,,,,,
74,,,,,,,,
75,,,,4000.0,,5000.0,-1000.0,8000.0
76,,,,,,,-309000.0,10000.0
77,,,,,,,-9000.0,-73000.0
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,17000.0,-7000.0
86,,,,,,,,
87,,,,52876000.0,,49324000.0,3552000.0,2837000.0
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,-39000.0
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,467000.0,221000.0
101,,,,,,,,
102,,,,,,,2797000.0,2344000.0
103,,,,,,,,
104,,,,,,,,
105,,,,,,,,
106,,,,28000.0,,,28000.0,22000.0
107,,,,,,,423000.0,229000.0
108,,,,,,,,
109,,,,,,,,
110,,,,,,,,
111,,,,,,,,
112,,,,,,,,
113,,,,,,,844000.0,187000.0
114,,,,,,,,
115,,,,,,,,
116,,,,,,,,
117,,,,,,,,
118,,,,,,,,
119,,,,,,,,-19000.0
120,,,,,,,,
121,,,,,,,,
122,,,,,,,,
123,,,,,,,374000.0,275000.0
124,,,,,,,,
125,,,,,,,526000.0,335000.0
126,,,,,,,,
127,,,,,,,,
128,,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,,,,,,,,
132,,,,,,,,
133,,,,,,,2841000.0,1957000.0
134,,,,,,,,
135,,,,,,,1909000.0,1732000.0
136,,,,,,,,
137,,,,4890000.0,,3553000.0,1337000.0,961000.0
138,,,,,,,,
