,Коэффициент соотношения заемных и собственных средств,Коэффициент долгосрочного привлечения заемных средств,Коэффициент маневренности собственных средств,Коэффициент обеспеченности собственными оборотными средствами
1,,,,
2,,,,
3,7.5419,,0.9991,0.117
4,-1.8294,-0.3109,1.7162,-15.1567
5,,,,
6,,,1.0,1.0
7,,,,
8,,,,
9,0.2131,,0.9518,0.817
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,25.3201,1.3402,0.5992,0.0231
16,,,,
17,0.0088,,0.7061,0.9876
18,,,1.0,1.0
19,,,,
20,,,,
21,,,,
22,3.5773,,1.0,0.2185
23,,,,
24,,,,
25,1227.588,0.9992,-919.164,-2.9802
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,0.9443,,1.0,0.5143
44,2.7787,,1.0,0.2646
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,-1.57,,1.0,-1.7542
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,-75.2043,,1.0,-0.0135
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,1.0,1.0
63,3.2241,,1.0,0.2367
64,,,,
65,-4.6305,,1.0034,-0.2766
66,-2.8763,-0.3154,1.0397,-0.5661
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,83.946,0.8818,-8.5409,-0.1133
73,,,,
74,,,,
75,3.1901,,0.924,0.2246
76,14.4037,,0.117,0.0081
77,-4263.6667,,574.6667,-0.1558
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,0.6639,,0.5599,0.4575
86,,,,
87,190.2975,,-0.2225,-0.0012
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,-1.2821,,1.0427,-4.3571
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,13.1184,,-0.0666,-0.0051
101,,,,
102,40.8737,,-3.6874,-0.0992
103,,,,
104,247.2308,-0.0833,1.0,0.004
105,,,,
106,2.4029,,0.0719,0.4041
107,54.7107,,1.0,0.0179
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,36.884,,1.0,0.0264
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,0.093,0.0637,-0.0895,-25.8889
120,,,,
121,,,,
122,,,,
123,0.961,,1.0,0.5094
124,,,,
125,36.8745,0.7868,1.0,0.0264
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,-4.0831,,1.0,-0.3243
132,,,1.0,1.0
133,1.2713,,0.1994,0.1356
134,,,,
135,12.9337,0.8816,-6.987,-1.1749
136,,,,
137,0.4879,,0.8943,0.647
138,,,,
139,0.9417,,1.0,0.515
140,,,,
141,4.6904,,1.0,0.1757
142,,,,
143,,,1.0,1.0
144,,,,
145,,,,
146,,,,
147,5.004,,1.0,0.1666
148,,,,
149,6.4308,0.0064,1.0,0.1346
150,75.6134,0.0036,1.0,0.0131
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,-5.9077,1.2172,5.7282,-31.9265
160,,,,
161,,,,
162,63.5069,0.9844,1.0,0.0155
163,,,,
164,,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,1.0,1.0
173,0.031,,0.1157,0.7889
174,,,,
175,,,,
176,96.2834,0.2219,0.6816,0.007
177,,,,
178,,,,
179,,,,
180,,,,
181,126.4228,,1.0,0.0078
182,,,,
183,,,,
184,,,,
