,Период погашения кредиторской задолженности,Период оборота запасов,Период погашения дебиторской задолженности,Период оборота основных средств,Период оборота активов
1,,,,,
2,,,,,
3,850.91,41.9,511.0,0.1,644.0
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,14.79,2.7,39.0,2.4,88.0
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,71.92,10.5,55.0,3.4,71.0
16,,,,,
17,18.57,7.1,1373.0,652.9,2279.0
18,,72.2,,,72.0
19,,,,,
20,,,,,
21,,,,,
22,168.41,62.2,205.0,3.3,288.0
23,,,,,
24,,,,,
25,9.98,,3939.0,11713.9,15653.0
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,160.28,104.7,23.0,,211.0
44,260.96,155.8,135.0,,297.0
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,23.13,,3.0,,24.0
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,810.16,20.2,786.0,,828.0
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,260.13,,253.0,,293.0
64,,,,,
65,188.06,34.0,85.0,0.1,139.0
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,282.09,2.3,246.0,30.7,299.0
73,,,,,
74,,,,,
75,28055.23,24698.3,1484.0,486.7,26876.0
76,4049.04,2859.9,2224.0,342.4,5624.0
77,202.21,,165.0,26.8,204.0
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,36.87,22.6,40.0,54.8,134.0
86,,,,,
87,545.2,84.3,407.0,2.7,498.0
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,281.9,41.3,122.0,35.2,297.0
101,,,,,
102,197.41,,145.0,17.0,176.0
103,,,,,
104,,,,,
105,,,,,
106,4.39,,6.0,,7.0
107,113.27,4.8,97.0,,114.0
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,486.37,18.0,425.0,,466.0
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,162.7,15.9,227.0,,433.0
124,,,,,
125,345.09,181.9,195.0,,377.0
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,13.28,0.7,11.0,5.0,19.0
134,,,,,
135,212.26,31.4,313.0,483.2,840.0
136,,,,,
137,6.98,3.0,11.0,0.3,16.0
138,,,,,
139,12.91,25.9,5.0,,33.0
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,113.41,16.2,46.0,,155.0
148,,,,,
149,120.18,16.2,117.0,,138.0
150,314.49,33.3,248.0,,314.0
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,294.31,,,,
160,,,,,
161,,,,,
162,32.09,,1986.0,,5184.0
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,147.59,,27.0,,31.0
173,32.17,,22.0,242.1,290.0
174,,,,,
175,,,,,
176,341.7,135.0,208.0,1.6,345.0
177,,,,,
178,,,,,
179,,,,,
180,,,,,
